47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3,47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3_resptime,6c871093253858350d730f80cfbc5109aa2529d9cda37341989ea8854485663e,6c871093253858350d730f80cfbc5109aa2529d9cda37341989ea8854485663e_resptime,9f7c42b1b5e58255e47691a7b28b08272a9e6a7db596871d300d5ed6a0363e35,9f7c42b1b5e58255e47691a7b28b08272a9e6a7db596871d300d5ed6a0363e35_resptime,875652920ad86e74f898a9dfa1a0a6d75c94f7aa794d3591659111603c7ff872,875652920ad86e74f898a9dfa1a0a6d75c94f7aa794d3591659111603c7ff872_resptime
7489,295,193,30,4870,32,577,2282
5283,295,179,30,2953,32,968,2282
5175,295,185,30,2623,32,1324,2282
5172,295,155,30,2094,32,408,2282
5133,295,159,30,1599,32,1254,2282
5587,295,178,30,2108,32,637,2282
5119,295,157,30,1608,32,548,2282
5110,295,142,30,1787,32,547,2282
5077,295,151,30,1558,32,449,2282
5122,295,165,30,1558,32,932,2282
5738,295,143,30,1668,32,869,2282
5163,295,140,30,1478,32,995,2282
5216,295,157,30,2456,32,738,2282
5136,295,163,30,3391,32,877,2282
5146,295,183,30,1881,32,528,2282
5916,295,169,30,1199,32,897,2282
5139,295,160,30,1219,32,615,2282
5122,295,185,30,1515,32,1053,2282
5101,295,170,30,1578,32,706,2282
5194,295,158,30,1219,32,567,2282
5600,295,154,30,2553,32,647,2282
5175,295,177,30,3217,32,638,2282
5253,295,162,30,1743,32,990,2282
5105,295,179,30,1532,32,883,2282
5228,295,157,30,2125,32,738,2282
5814,295,144,30,2294,32,578,2282
5298,295,174,30,1948,32,997,2282
5328,295,170,30,1048,32,543,2282
5241,295,180,30,1259,32,1255,2282
5277,295,181,30,1944,32,1162,2282
6337,295,175,30,3008,32,1547,2282
5187,295,159,30,2615,32,1577,2282
5172,295,173,30,2646,32,614,2282
5103,295,171,30,2264,32,1912,2282
5061,295,156,30,1566,32,1844,2282
5752,295,177,30,2060,32,1906,2282
5175,295,150,30,1722,32,1775,2282
5216,295,156,30,1683,32,1995,2282
5092,295,161,30,1576,32,2041,2282
5086,295,155,30,1493,32,1641,2282
5557,295,154,30,1644,32,1119,2282
5270,295,176,30,1486,32,2021,2282
5482,295,193,30,2495,32,1950,2282
5077,295,157,30,3412,32,2318,2282
5143,295,146,30,1735,32,966,2282
5813,295,141,30,1214,32,1812,2282
5194,295,164,30,1130,32,861,2282
5833,295,197,30,1509,32,1305,2282
5089,295,215,30,1525,32,1043,2282
5193,295,319,30,1208,32,1031,2282
5562,295,184,30,2473,32,1231,2282
5130,295,157,30,3150,32,1071,2282
5330,295,137,30,1714,32,888,2282
5142,295,180,30,1639,32,1007,2282
5135,295,185,30,2112,32,983,2282
5714,295,190,30,2311,32,1303,2282
5154,295,189,30,1999,32,808,2282
5298,295,161,30,1141,32,1164,2282
5169,295,159,30,1240,32,1278,2282
5289,295,175,30,1971,32,1731,2282
7439,295,167,30,4125,32,1069,2282
6520,295,196,30,2965,32,1321,2282
5401,295,180,30,2737,32,1061,2282
5232,295,196,30,2130,32,1295,2282
5066,295,194,30,1617,32,1106,2282
5677,295,173,30,2096,32,1024,2282
5214,295,167,30,1636,32,555,2282
5281,295,154,30,1600,32,389,2282
5226,295,153,30,1614,32,394,2282
5170,295,149,30,1573,32,545,2282
5587,295,152,30,1631,32,456,2282
5211,295,145,30,1526,32,478,2282
5255,295,150,30,2515,32,483,2282
5225,295,174,30,3417,32,296,2282
5126,295,186,30,1749,32,208,2282
5894,295,153,30,1163,32,355,2282
5229,295,190,30,1151,32,233,2282
5170,295,171,30,1466,32,237,2282
